Date,travel_count
2021-02-24,1051149.0
2021-02-25,1096348.0
2021-02-26,917282.0
2021-02-27,1190682.0
2021-02-28,1049692.0
2021-03-01,744812.0
2021-03-02,826924.0
2021-03-03,1107534.0
2021-03-04,1168734.0
2021-03-05,992406.0
2021-03-06,1278557.0
2021-03-07,1119303.0
2021-03-08,825745.0
2021-03-09,974221.0
2021-03-10,1286894.0
2021-03-11,1409771.0
2021-03-12,1227484.0
2021-03-13,1345284.0
2021-03-14,1267345.0
2021-03-15,1092548.0
2021-03-16,1146539.0
2021-03-17,1413141.0
2021-03-18,1477841.0
2021-03-19,1373259.0
2021-03-20,1543136.0
2021-03-21,1360290.0
2021-03-22,1076453.0
2021-03-23,1164954.0
2021-03-24,1444744.0
2021-03-25,1535156.0
2021-03-26,1408198.0
2021-03-27,1574228.0
2021-03-28,1406234.0
2021-03-29,1130520.0
2021-03-30,1278113.0
2021-03-31,1562239.0
2021-04-01,1580785.0
2021-04-02,1397958.0
2021-04-03,1543474.0
2021-04-04,1561959.0
2021-04-05,1195306.0
2021-04-06,1230939.0
2021-04-07,1510829.0
2021-04-08,1549181.0
2021-04-09,1378237.0
2021-04-10,1561495.0
2021-04-11,1468972.0
2021-04-12,1085034.0
2021-04-13,1152703.0
2021-04-14,1491435.0
2021-04-15,1468218.0
2021-04-16,1277815.0
2021-04-17,1572383.0
2021-04-18,1412500.0
2021-04-19,1082443.0
2021-04-20,1164099.0
2021-04-21,1509649.0
2021-04-22,1521393.0
2021-04-23,1259724.0
2021-04-24,1571220.0
2021-04-25,1369410.0
2021-04-26,1077199.0
2021-04-27,1184326.0
2021-04-28,1526681.0
2021-04-29,1558553.0
2021-04-30,1335535.0
2021-05-01,1626962.0
2021-05-02,1463672.0
2021-05-03,1134103.0
2021-05-04,1268938.0
2021-05-05,1644050.0
2021-05-06,1703267.0
2021-05-07,1429657.0
2021-05-08,1707805.0
2021-05-09,1657722.0
2021-05-10,1315493.0
2021-05-11,1424664.0
2021-05-12,1743515.0
2021-05-13,1716561.0
2021-05-14,1453267.0
2021-05-15,1850531.0
2021-05-17,1734541.0
2021-05-18,1408017.0
2021-05-19,1496089.0
2021-05-20,1728496.0
2021-05-21,1820433.0
2021-05-22,1550044.0
2021-05-23,1863697.0
2021-05-24,1747353.0
2021-05-25,1470840.0
2021-05-26,1618169.0
2021-05-27,1854534.0
2021-05-28,1959593.0
