Date,total_cases,total_death,Distributed,travel_count
2021-07-29,99915.0,503.0,4199390,2127634.0
2021-07-30,105457.0,651.0,3903010,2198585.0
2021-07-31,81295.0,398.0,3280370,2007412.0
2021-08-01,61961.0,373.0,94180,2238462.0
2021-08-02,102613.0,657.0,880,2031758.0
2021-08-03,111033.0,708.0,1401630,1797120.0
2021-08-04,128076.0,746.0,2009690,1855299.0
2021-08-05,129002.0,762.0,2933010,2063720.0
2021-08-06,134380.0,848.0,5447060,2109091.0
2021-08-07,120940.0,644.0,5145120,1925641.0
2021-08-08,97587.0,529.0,47560,2168264.0
2021-08-09,93574.0,732.0,116020,2022858.0
2021-08-10,136449.0,968.0,1993500,1727075.0
2021-08-11,144838.0,968.0,3386400,1761348.0
2021-08-12,152567.0,998.0,5781870,2045301.0
2021-08-13,147387.0,1201.0,6404370,2065379.0
2021-08-14,140847.0,895.0,3247020,1811767.0
2021-08-15,111452.0,683.0,288780,2114166.0
2021-08-16,109587.0,862.0,5100,1980585.0
2021-08-17,151083.0,1205.0,3608870,1607238.0
2021-08-18,168944.0,1512.0,5758290,1678231.0
2021-08-19,175890.0,1396.0,7617120,1945026.0
2021-08-20,169404.0,1586.0,8229900,1990608.0
2021-08-21,145144.0,1180.0,5009930,1685462.0
2021-08-22,127792.0,907.0,132220,1965020.0
2021-08-23,116565.0,1209.0,12460,1820355.0
2021-08-24,163808.0,1674.0,604300,1468219.0
2021-08-25,178329.0,1672.0,4736460,1539707.0
2021-08-26,187483.0,1799.0,9728150,1826310.0
2021-08-27,183169.0,1856.0,6160030,1853622.0
2021-08-28,153609.0,1475.0,3935630,1511294.0
2021-08-29,119093.0,1196.0,1338300,1900658.0
2021-08-30,133507.0,1248.0,-460,1629475.0
2021-08-31,177482.0,1813.0,2999830,1345064.0
2021-09-01,199174.0,2033.0,5704560,1465197.0
2021-09-02,182681.0,2039.0,4361070,1896846.0
2021-09-03,183969.0,1973.0,4808960,2129999.0
2021-09-04,144946.0,1510.0,5249110,1545955.0
2021-09-05,125847.0,1335.0,-97820,1630786.0
2021-09-06,109920.0,1079.0,-10080,2025556.0
2021-09-07,117910.0,1556.0,20530,1662932.0
2021-09-08,171312.0,2136.0,1278270,1439804.0
2021-09-09,185075.0,2258.0,5481540,1685668.0
2021-09-10,172154.0,2304.0,3991070,1792979.0
2021-09-11,155845.0,1759.0,4960350,1363653.0
2021-09-12,116799.0,1166.0,64920,1966456.0
2021-09-13,112550.0,1347.0,20020,1672895.0
2021-09-14,163133.0,2438.0,4380850,1271516.0
2021-09-15,164063.0,2506.0,5193210,1455913.0
2021-09-16,168102.0,2109.0,3076090,1851345.0
2021-09-17,158434.0,2330.0,4823370,1942337.0
2021-09-18,126014.0,1623.0,4528420,1476269.0
2021-09-19,97947.0,1223.0,25460,2075468.0
2021-09-20,92565.0,1346.0,-36650,1820152.0
2021-09-21,135720.0,2344.0,1524240,1338166.0
2021-09-22,133040.0,2370.0,2387190,1460478.0
2021-09-23,137817.0,2086.0,2826410,1904732.0
2021-09-24,133652.0,2461.0,2232330,2019891.0
2021-09-25,98969.0,1456.0,2411960,1525438.0
2021-09-26,77977.0,1054.0,6600,2102155.0
2021-09-27,101884.0,1920.0,18740,1849171.0
2021-09-28,116893.0,2152.0,2055840,1334997.0
2021-09-29,117397.0,2256.0,2637140,1448369.0
2021-09-30,123772.0,1965.0,1390350,1934592.0
2021-10-01,121918.0,2195.0,5701870,2011794.0
2021-10-02,84311.0,1333.0,2940810,1534114.0
2021-10-03,68731.0,980.0,105570,2100167.0
2021-10-04,86148.0,1296.0,131790,1842054.0
2021-10-05,104636.0,2067.0,2217850,1390201.0
2021-10-06,117516.0,2040.0,3120530,1563565.0
2021-10-07,113339.0,1752.0,5100780,2063090.0
2021-10-08,108367.0,2276.0,7154190,2169783.0
2021-10-09,72421.0,1074.0,3163850,1645563.0
2021-10-10,60384.0,1039.0,57140,2086146.0
2021-10-11,74327.0,958.0,85390,2083627.0
2021-10-12,90267.0,1954.0,1897170,1695970.0
2021-10-13,96804.0,1846.0,3070360,1641419.0
2021-10-14,97039.0,1567.0,4426350,2048398.0
2021-10-15,91595.0,2042.0,4939800,2070878.0
2021-10-16,64978.0,931.0,3771880,1704466.0
2021-10-17,49535.0,723.0,-366870,2213296.0
2021-10-18,69309.0,2272.0,-80220,2001297.0
2021-10-19,81049.0,1847.0,2878410,1446353.0
2021-10-20,76725.0,1831.0,3078290,1647089.0
2021-10-21,87658.0,1535.0,4225760,2046694.0
2021-10-22,81823.0,1952.0,5821060,2108582.0
2021-10-23,37001.0,667.0,3826950,1626185.0
2021-10-24,28244.0,346.0,-57220,2107839.0
2021-10-25,84143.0,1049.0,-149080,1989373.0
2021-10-26,102315.0,2043.0,2404200,1503587.0
2021-10-27,84314.0,1774.0,6166310,1547075.0
2021-10-28,103561.0,1291.0,6216980,1927041.0
2021-10-29,88403.0,1809.0,8399060,1982773.0
2021-10-30,35043.0,449.0,7565720,1518020.0
2021-10-31,25513.0,303.0,-4300,1845965.0
2021-11-01,117732.0,1189.0,-270720,1992577.0
2021-11-02,74985.0,1456.0,5994140,1487874.0
2021-11-03,79016.0,1485.0,7297950,1525948.0
2021-11-04,89006.0,1207.0,7431320,1940302.0
2021-11-05,89797.0,1619.0,5045210,2035406.0
2021-11-06,36017.0,478.0,3467660,1527465.0
2021-11-07,31438.0,253.0,2123680,2152721.0
2021-11-08,116610.0,1172.0,10720,1955530.0
2021-11-09,82830.0,1595.0,5323920,1456657.0
2021-11-10,93808.0,1340.0,9460590,1691526.0
2021-11-11,73838.0,988.0,10745410,2064753.0
2021-11-12,122918.0,1741.0,8587330,2001439.0
2021-11-13,68965.0,553.0,5781760,1559772.0
2021-11-14,33694.0,216.0,-158460,2150150.0
2021-11-15,133590.0,1080.0,-194000,2010601.0
2021-11-16,98430.0,1458.0,4848280,1491890.0
2021-11-17,105118.0,1447.0,4799640,1624511.0
2021-11-18,123821.0,3873.0,5433490,2044545.0
2021-11-19,113765.0,1663.0,3434750,2242956.0
2021-11-20,45839.0,374.0,8494490,2004579.0
2021-11-21,38762.0,174.0,-234860,2213716.0
