Date,Location,Distributed
2021-09-25,MN,35510
2021-09-26,MN,0
2021-09-27,MN,0
2021-09-28,MN,14940
2021-09-29,MN,22540
2021-09-30,MN,-450
2021-10-01,MN,82960
2021-10-02,MN,10640
2021-10-03,MN,1410
2021-10-04,MN,0
2021-10-05,MN,29750
2021-10-06,MN,27380
2021-10-07,MN,48090
2021-10-08,MN,23020
2021-10-09,MN,58500
2021-10-10,MN,0
2021-10-11,MN,0
2021-10-12,MN,32290
2021-10-13,MN,10540
2021-10-14,MN,25290
2021-10-15,MN,25240
2021-10-16,MN,72210
2021-10-17,MN,-4160
2021-10-18,MN,0
2021-10-19,MN,18060
2021-10-20,MN,31650
2021-10-21,MN,48840
2021-10-22,MN,43090
2021-10-23,MN,73520
2021-10-24,MN,-560
2021-10-25,MN,-700
2021-10-26,MN,13320
2021-10-27,MN,35320
2021-10-28,MN,53630
2021-10-29,MN,72680
2021-10-30,MN,53680
2021-10-31,MN,-700
2021-11-01,MN,-2200
2021-11-02,MN,14470
2021-11-04,MN,80660
2021-11-05,MN,22440
2021-11-06,MN,33640
2021-11-07,MN,12160
2021-11-08,MN,0
2021-11-09,MN,45980
2021-11-11,MN,58510
2021-11-12,MN,72160
2021-11-14,MN,2420
2021-11-15,MN,-600
2021-11-16,MN,39020
2021-11-17,MN,54640
2021-11-18,MN,51690
2021-11-19,MN,53400
2021-11-20,MN,56980
2021-11-21,MN,-2260
2021-11-22,MN,-1420
2021-11-25,MN,0
2021-11-26,MN,0
2021-11-27,MN,0
2021-11-28,MN,0
2021-11-29,MN,-11620
2021-11-30,MN,72480
2021-12-01,MN,72110
2021-12-02,MN,64830
2021-12-03,MN,49240
2021-12-04,MN,5020
2021-12-05,MN,-7280
2021-12-06,MN,-2570
2021-12-07,MN,54340
2021-12-09,MN,32900
2021-12-10,MN,68500
2021-12-11,MN,44940
2021-12-12,MN,3100
2021-12-13,MN,-280
2021-12-14,MN,61190
2021-12-15,MN,82570
2021-12-16,MN,39100
2021-12-17,MN,74930
2021-12-18,MN,-34670
2021-12-19,MN,-19280
2021-12-20,MN,-10740
2021-12-21,MN,29990
2021-12-22,MN,30350
2021-12-23,MN,59040
2021-12-24,MN,7470
2021-12-25,MN,-420
2021-12-26,MN,-14140
2021-12-27,MN,-4060
2021-12-28,MN,0
2021-12-29,MN,82450
2021-12-30,MN,22850
2021-12-31,MN,480
2022-01-01,MN,-1680
